time,connect,request 
0,1.6215625,30.119900900900898 
10,1.7371500000000002,29.640928057553943 
20,1.4512608695652174,25.560586419753072 
30,1.528,26.296129629629625 
40,1.4945714285714284,24.759999999999998 
50,1.3509230769230771,27.457912087912085 
60,1.5884285714285717,24.42161224489795 
70,2.029666666666667,25.614571428571427 
80,2.0232,29.31677142857143 
90,1.2433333333333334,27.81052380952381 
100,1.269,28.59771428571429 
110,1.1575000000000002,20.093285714285717 
120,1.8655,27.821928571428572 
126,1.182,25.716 
